DisclosureId,JobStartDate,JobEndDate,StateName,CountyName,Latitude,Longitude,Projection,TVD(ft),TVD(Km),TotalBaseWaterVolume,TradeName
cc0e09aa-2180-4287-a528-de028f254140,5/23/2024 3:36:53 AM,6/17/2024 1:16:14 AM,Texas,Ward,31.566327,-103.2229,NAD 83.00,10923,3.3293304,24216360,100 Mesh
b90a8b71-ce6f-49a9-bf1a-007b266218e9,5/23/2024 9:55:29 AM,6/17/2024 4:17:46 AM,Texas,Ward,31.566402,-103.22263,NAD 83.00,11312,3.4478976,24151974,Ingredient Container
3d51667b-f4bc-4feb-87e4-3b3021dfc1b3,6/11/2024 12:00:00 AM,6/23/2024 12:00:00 AM,Texas,Reeves,31.2742,-103.27667,NAD 83.00,10634,3.2412432,26083050,Sand
a45d6b22-af99-4031-80c7-47a5d288ef43,6/12/2024 12:00:00 AM,7/2/2024 12:00:00 AM,Texas,Reeves,31.2742,-103.2831,NAD 83.00,10580,3.224784,24295824,ScaleCease 7103
db96eeec-e66c-44a9-8fcd-7868a5871ddc,6/12/2024 12:00:00 AM,7/2/2024 12:00:00 AM,Texas,Reeves,31.2742,-103.28338,NAD 83.00,10580,3.224784,24451518,Ingredient Container
8bfd9ecf-d3c7-4a8f-8da5-7e984123562a,6/19/2024 5:37:39 PM,7/5/2024 7:27:20 AM,Texas,Ward,31.540883,-103.20482,NAD 83.00,10598,3.2302704,23057706,15% HCl
dd716564-485d-420c-b09d-6eab0621d6db,6/20/2024 6:50:00 PM,7/4/2024 1:05:00 AM,Texas,Ward,31.439935,-103.26334,NAD 83.00,11201.3443,3.41416974264,25275419,Crystalline Silica Quartz
96478324-b46d-4f4c-a963-3beea61c2c8f,6/21/2024 12:42:00 AM,7/3/2024 4:50:00 PM,Texas,Ward,31.439872,-103.26326,NAD 83.00,11174.0066,3.40583721168,24151151,MCS-376
f1242472-fb52-4853-8190-786b7cf04b0b,6/28/2024 2:23:00 PM,7/9/2024 10:22:00 PM,Texas,Loving,31.859244,-103.436,NAD 83.00,13000,3.9624,22837962,7.5% HCl
9916a7d9-fc64-4c58-af09-708d69fdd9b1,6/28/2024 7:39:00 AM,7/28/2024 6:34:00 PM,Texas,Reeves,31.24617,-103.18076,NAD 83.00,10614,3.2351472,52058230,Ingredient Container
a4725a17-225b-49a4-a2d5-4f2071f6a932,6/8/2024 10:14:00 PM,6/24/2024 4:25:00 PM,Texas,Ward,31.564936,-103.22801,NAD 83.00,11237,3.4250376,21975407,SI-625(D-100)
974c6ebd-78fb-4435-ba32-b54242a5587a,6/8/2024 6:41:00 PM,6/24/2024 2:07:00 PM,Texas,Ward,31.565006,-103.22806,NAD 83.00,10796,3.2906208,21160052,Total 4
8b8090fb-05ca-4d70-8b55-e30bb2c0746a,6/9/2024 1:07:00 AM,6/24/2024 7:05:00 PM,Texas,Ward,31.565076,-103.22811,NAD 83.00,11183,3.4085784,22154230,FR-533
0ac1f374-2e1d-4aec-b5d3-527b72ad7c68,7/1/2024 10:47:00 PM,7/21/2024 11:08:00 PM,Texas,Ward,31.565901,-103.14099,NAD 83.00,11091.0542,3.38055332016,29626370,HCL-15
